"'eldegralen asadimris /ʔel.də.gra.len a.sa.dim.ris/","(propernoun)

The Elven Bridge"
"'er /ʔer/","(suffix)

verbalizer suffix that creates verbs from nouns and property concepts"
"'eteleth /ʔe.te.leθ/","(interrogative)

when (sensed time)"
"'etelum /ʔe.te.lum/","(interrogative)

when (unknown time)"
"'etil /ʔe.til/","(noun)

living thing"
"eldalulbres /el.da.lul.bres/","(noun)

north wind"
"eldul /el.dul/","(noun)

north"
"eltek /el.tek/","(adjective)

compacted, condensed (especially of soil);shaped from loose material"
"etil /e.til/","(noun)

thing"
"etilsim /e.til.sim/","(adverb)

everything changes/transforms (with implications of resignation/indifference)"